NOK-AV vs NOK-AV
--- units: 20
Dragoons: 10	Zealots: 10 on each side
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.0
Win average: 0.16666666666666666
Win average: 0.2857142857142857
Win average: 0.375
Win average: 0.3333333333333333
Win average: 0.3
Win average: 0.2727272727272727
Win average: 0.25
Win average: 0.3076923076923077
Win average: 0.2857142857142857
Win average: 0.26666666666666666
Win average: 0.25
Win average: 0.29411764705882354
Win average: 0.3333333333333333
Win average: 0.3157894736842105
Win average: 0.3
Win average: 0.3333333333333333
Win average: 0.3181818181818182
Win average: 0.30434782608695654
Win average: 0.3333333333333333
Win average: 0.32
Win average: 0.3076923076923077
Win average: 0.3333333333333333
Win average: 0.32142857142857145
Win average: 0.3448275862068966
Win average: 0.3333333333333333
Win average: 0.3548387096774194
Win average: 0.375
Win average: 0.3939393939393939
Win average: 0.4117647058823529
Win average: 0.4
Win average: 0.4166666666666667
Win average: 0.43243243243243246
Win average: 0.4473684210526316
Win average: 0.46153846153846156
Win average: 0.475
Win average: 0.4634146341463415
Win average: 0.4523809523809524
Win average: 0.4418604651162791
Win average: 0.4318181818181818
Win average: 0.4444444444444444
Win average: 0.43478260869565216
Win average: 0.425531914893617
Win average: 0.4375
Win average: 0.4489795918367347
Win average: 0.46
Win average: 0.45098039215686275
Win average: 0.46153846153846156
Win average: 0.4528301886792453
Win average: 0.46296296296296297
Win average: 0.45454545454545453
Win average: 0.4642857142857143
Win average: 0.45614035087719296
Win average: 0.4482758620689655
Win average: 0.4406779661016949
Win average: 0.45
Win average: 0.45901639344262296
Win average: 0.46774193548387094
Win average: 0.4603174603174603
Win average: 0.453125
Win average: 0.4461538461538462
Win average: 0.45454545454545453
Win average: 0.4626865671641791
Win average: 0.47058823529411764
Win average: 0.4782608695652174
Win average: 0.4714285714285714
Win average: 0.4647887323943662
Win average: 0.4583333333333333
Win average: 0.4657534246575342
Win average: 0.47297297297297297
Win average: 0.4666666666666667
Win average: 0.47368421052631576
Win average: 0.4675324675324675
Win average: 0.47435897435897434
Win average: 0.46835443037974683
Win average: 0.4625
Win average: 0.4691358024691358
Win average: 0.47560975609756095
Win average: 0.46987951807228917
Win average: 0.47619047619047616
Win average: 0.47058823529411764
Win average: 0.47674418604651164
Win average: 0.4827586206896552
Win average: 0.48863636363636365
Win average: 0.48314606741573035
Win average: 0.4888888888888889
Win average: 0.4835164835164835
Win average: 0.4891304347826087
Win average: 0.4838709677419355
Win average: 0.48936170212765956
Win average: 0.4842105263157895
Win average: 0.4895833333333333
Win average: 0.4948453608247423
Win average: 0.5
Win average: 0.5050505050505051
Win average: 0.5
Win average: 0.49504950495049505
Win average: 0.49019607843137253
Win average: 0.4854368932038835
Win average: 0.4807692307692308
Win average: 0.47619047619047616
Win average: 0.4716981132075472
Win average: 0.4766355140186916
Win average: 0.48148148148148145
Win average: 0.48623853211009177
Win average: 0.4818181818181818
Win average: 0.4864864864864865
Win average: 0.48214285714285715
Win average: 0.4778761061946903
Win average: 0.4824561403508772
Win average: 0.4782608695652174
Win average: 0.4827586206896552
Win average: 0.47863247863247865
Win average: 0.4830508474576271
Win average: 0.48739495798319327
Win average: 0.49166666666666664
Win average: 0.48760330578512395
Win average: 0.4918032786885246
Win average: 0.4878048780487805
Win average: 0.49193548387096775
Win average: 0.488
Win average: 0.49206349206349204
Win average: 0.49606299212598426
Win average: 0.5
Win average: 0.49612403100775193
Win average: 0.49230769230769234
Win average: 0.48854961832061067
Win average: 0.49242424242424243
Win average: 0.48872180451127817
Win average: 0.4925373134328358
Win average: 0.4962962962962963
Win average: 0.5
Win average: 0.5036496350364964
Win average: 0.5
Win average: 0.49640287769784175
Win average: 0.5
Win average: 0.5035460992907801
Win average: 0.5070422535211268
Win average: 0.5034965034965035
Win average: 0.5069444444444444
Win average: 0.5103448275862069
Win average: 0.5068493150684932
Win average: 0.5034013605442177
Win average: 0.5067567567567568
Win average: 0.5100671140939598
Win average: 0.5133333333333333
Win average: 0.5099337748344371
Win average: 0.5131578947368421
Win average: 0.5163398692810458
Win average: 0.5194805194805194
Win average: 0.5225806451612903
Win average: 0.5192307692307693
Win average: 0.5159235668789809
Win average: 0.5189873417721519
Win average: 0.5157232704402516
Win average: 0.51875
Win average: 0.5217391304347826
Win average: 0.5246913580246914
Win average: 0.5214723926380368
Win average: 0.5182926829268293
Win average: 0.5212121212121212
Win average: 0.5180722891566265
Win average: 0.5149700598802395
Win average: 0.5119047619047619
Win average: 0.5088757396449705
Win average: 0.5117647058823529
Win average: 0.5087719298245614
Win average: 0.5058139534883721
Win average: 0.5086705202312138
Win average: 0.5057471264367817
Win average: 0.5028571428571429
Win average: 0.5056818181818182
Win average: 0.5028248587570622
Win average: 0.5
Win average: 0.5027932960893855
Win average: 0.5055555555555555
Win average: 0.5082872928176796
Win average: 0.5054945054945055
Win average: 0.5081967213114754
Win average: 0.5108695652173914
Win average: 0.5135135135135135
Win average: 0.510752688172043
Win average: 0.5080213903743316
Win average: 0.5053191489361702
Win average: 0.5079365079365079
Win average: 0.5052631578947369
Win average: 0.5078534031413613
Win average: 0.5104166666666666
Win average: 0.5129533678756477
Win average: 0.5103092783505154
Win average: 0.5076923076923077
Win average: 0.5051020408163265
Win average: 0.5076142131979695
Win average: 0.5050505050505051
Win average: 0.5025125628140703
Win average: 0.5
Win average: 0.5024875621890548
Win average: 0.504950495049505
Win average: 0.5073891625615764
Win average: 0.5049019607843137
Win average: 0.5073170731707317
Win average: 0.5097087378640777
Win average: 0.5120772946859904
Win average: 0.5096153846153846
Win average: 0.5119617224880383
Win average: 0.5095238095238095
Win average: 0.5071090047393365
Win average: 0.5047169811320755
Win average: 0.5023474178403756
Win average: 0.5
Win average: 0.5023255813953489
Win average: 0.5046296296296297
Win average: 0.5069124423963134
Win average: 0.5091743119266054
Win average: 0.5068493150684932
Win average: 0.5045454545454545
Win average: 0.5067873303167421
Win average: 0.509009009009009
Win average: 0.5067264573991032
Win average: 0.5044642857142857
Win average: 0.5066666666666667
Win average: 0.504424778761062
Win average: 0.5066079295154186
Win average: 0.5043859649122807
Win average: 0.5021834061135371
Win average: 0.5043478260869565
Win average: 0.5064935064935064
Win average: 0.5043103448275862
Win average: 0.5064377682403434
Win average: 0.5085470085470085
Win average: 0.5106382978723404
Win average: 0.5127118644067796
Win average: 0.5147679324894515
Win average: 0.5126050420168067
Win average: 0.5104602510460251
Win average: 0.5125
Win average: 0.5103734439834025
Win average: 0.512396694214876
Win average: 0.5102880658436214
Win average: 0.5122950819672131
Win average: 0.5142857142857142
Win average: 0.516260162601626
Win average: 0.5182186234817814
Win average: 0.5201612903225806
Win average: 0.5220883534136547
Win average: 0.524
Win average: 0.5258964143426295
Win average: 0.5277777777777778
Win average: 0.5296442687747036
Win average: 0.531496062992126
Win average: 0.5294117647058824
Win average: 0.53125
Win average: 0.5291828793774319
Win average: 0.5310077519379846
Win average: 0.528957528957529
Win average: 0.5307692307692308
Win average: 0.5325670498084292
Win average: 0.5343511450381679
Win average: 0.532319391634981
Win average: 0.5340909090909091
Win average: 0.5320754716981132
Win average: 0.5338345864661654
Win average: 0.5355805243445693
Win average: 0.5335820895522388
Win average: 0.5353159851301115
Win average: 0.5370370370370371
Win average: 0.5350553505535055
Win average: 0.5330882352941176
Win average: 0.5347985347985348
Win average: 0.5364963503649635
Win average: 0.5381818181818182
Win average: 0.5398550724637681
Win average: 0.5415162454873647
Win average: 0.5431654676258992
Win average: 0.5412186379928315
Win average: 0.5428571428571428
Win average: 0.5444839857651246
Win average: 0.5425531914893617
Win average: 0.5441696113074205
Win average: 0.545774647887324
Win average: 0.543859649122807
Win average: 0.541958041958042
Win average: 0.5400696864111498
